iter	Passed	Remaining
563	40088	30990
564	40159	30919
565	40229	30847
566	40305	30780
567	40373	30706
568	40446	30636
569	40517	30565
570	40593	30498
571	40670	30431
572	40749	30366
573	40821	30296
574	40899	30229
575	40976	30163
576	41047	30091
577	41118	30020
578	41207	29962
579	41285	29896
580	41348	29819
581	41419	29747
582	41492	29678
583	41568	29610
584	41644	29542
585	41714	29470
586	41785	29399
587	41856	29327
588	41931	29259
589	42000	29186
590	42084	29124
591	42173	29065
592	42241	28991
593	42304	28915
594	42377	28845
595	42439	28767
596	42509	28695
597	42577	28622
598	42655	28555
599	42740	28493
600	42810	28421
601	42885	28353
602	42963	28286
603	43028	28211
604	43104	28142
605	43187	28079
606	43253	28004
607	43327	27934
608	43409	27870
609	43492	27806
610	43581	27746
611	43658	27678
612	43729	27607
613	43803	27538
614	43875	27466
615	43949	27397
616	44024	27327
617	44093	27255
618	44169	27186
619	44251	27121
620	44348	27066
621	44431	27001
622	44498	26927
623	44569	26856
624	44639	26783
625	44719	26717
626	44800	26651
627	44872	26580
628	44952	26514
629	45026	26444
630	45112	26381
631	45195	26316
632	45270	26247
633	45345	26177
634	45408	26101
635	45488	26034
636	45562	25964
637	45632	25891
638	45708	25822
639	45787	25755
640	45865	25687
641	45935	25614
642	46002	25541
643	46067	25465
644	46134	25392
645	46210	25322
646	46280	25250
647	46351	25178
648	46434	25113
649	46516	25047
650	46592	24977
651	46667	24908
652	46738	24836
653	46799	24759
654	46882	24693
655	46954	24622
656	47018	24546
657	47090	24475
658	47174	24410
659	47248	24340
660	47338	24278
661	47420	24211
662	47501	24144
663	47567	24070
664	47628	23993
665	47699	23921
666	47767	23847
667	47844	23778
668	47912	23705
669	47987	23635
670	48052	23560
671	48132	23493
672	48205	23422
673	48287	23355
674	48358	23283
675	48427	23211
676	48499	23139
677	48578	23071
678	48657	23002
679	48744	22938
680	48818	22868
681	48891	22796
682	48960	22724
683	49033	22652
684	49108	22582
685	49179	22510
686	49257	22442
687	49331	22371
688	49407	22301
689	49485	22232
690	49563	22163
691	49641	22094
692	49712	22022
693	49783	21950
694	49859	21880
695	49932	21809
696	50007	21739
697	50094	21673
698	50168	21603
699	50253	21537
700	50332	21468
701	50408	21398
702	50487	21329
703	50569	21262
704	50643	21191
705	50711	21117
706	50773	21041
707	50848	20971
708	50920	20899
709	50990	20827
710	51051	20750
711	51130	20682
712	51205	20611
713	51273	20538
714	51340	20464
715	51416	20394
716	51487	20322
717	51572	20255
718	51654	20187
719	51738	20120
720	51817	20051
721	51892	19980
722	51968	19910
723	52040	19838
724	52116	19768
725	52190	19697
726	52262	19625
727	52338	19555
728	52406	19481
729	52479	19410
730	52559	19341
731	52648	19275
732	52721	19204
733	52792	19131
734	52867	19061
735	52951	18993
736	53033	18925
737	53116	18856
738	53199	18788
739	53270	18716
740	53348	18646
741	53441	18582
742	53508	18508
743	53582	18437
744	53654	18364
745	53720	18290
746	53794	18219
747	53868	18148
748	53949	18079
749	54022	18007
750	54097	17936
751	54178	17867
752	54251	17795
753	54324	17723
754	54397	17652
755	54465	17578
756	54547	17509
757	54638	17444
758	54725	17376
759	54798	17304
760	54885	17237
761	54959	17165
762	55026	17092
763	55087	17016
764	55159	16944
765	55234	16873
766	55306	16800
767	55382	16730
768	55474	16663
769	55559	16595
770	55637	16525
771	55706	16452
772	55783	16381
773	55862	16311
774	55935	16239
775	56005	16166
776	56078	16094
777	56156	16024
778	56234	15953
779	56310	15882
780	56407	15817
781	56481	15745
782	56557	15674
783	56635	15603
784	56707	15531
785	56784	15460
786	56849	15386
787	56920	15313
